sample	type	group	mut_ct
MPX000019-NYC-M08172-220826	NON-APOBEC	Outbreak NYC	10
MPX000020-NYC-M08172-220826	APOBEC3	Outbreak NYC	55
MPX000020-NYC-M08172-220826	NON-APOBEC	Outbreak NYC	9
MPX000021-NYC-M08172-220908	APOBEC3	Outbreak NYC	52
MPX000021-NYC-M08172-220908	NON-APOBEC	Outbreak NYC	9
MPX000022-NYC-M04731-220909	APOBEC3	Outbreak NYC	52
MPX000022-NYC-M04731-220909	NON-APOBEC	Outbreak NYC	9
MPX000023-NYC-M08172-220908	APOBEC3	Outbreak NYC	55
MPX000023-NYC-M08172-220908	NON-APOBEC	Outbreak NYC	9
MPX000024-NYC-M08172-220908	APOBEC3	Outbreak NYC	54
MPX000024-NYC-M08172-220908	NON-APOBEC	Outbreak NYC	9
MPX000025-NYC-M04731-220909	APOBEC3	Outbreak NYC	52
MPX000025-NYC-M04731-220909	NON-APOBEC	Outbreak NYC	9
MPX000026-NYC-M04731-220909	APOBEC3	Outbreak NYC	55
MPX000026-NYC-M04731-220909	NON-APOBEC	Outbreak NYC	11
MPX000027-NYC-M08172-220908	APOBEC3	Outbreak NYC	53
MPX000027-NYC-M08172-220908	NON-APOBEC	Outbreak NYC	9
MPX000029-NYC-M04731-220909	APOBEC3	Outbreak NYC	61
MPX000029-NYC-M04731-220909	NON-APOBEC	Outbreak NYC	9
MPX000030-NYC-M04731-220909	APOBEC3	Outbreak NYC	54
MPX000030-NYC-M04731-220909	NON-APOBEC	Outbreak NYC	9
MPX000031-NYC-M08172-220908	APOBEC3	Outbreak NYC	54
MPX000031-NYC-M08172-220908	NON-APOBEC	Outbreak NYC	11
MPX000040-NYC-M08172-220908	APOBEC3	Outbreak NYC	53
MPX000040-NYC-M08172-220908	NON-APOBEC	Outbreak NYC	9
MPX000042-NYC-VH00422-221014	APOBEC3	Outbreak NYC	55
MPX000042-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000043-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000043-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000044-NYC-VH00422-221014	APOBEC3	Outbreak NYC	55
MPX000044-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000045-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000045-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000046-NYC-VH00422-221014	APOBEC3	Outbreak NYC	55
MPX000046-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000047-NYC-VH00422-221014	APOBEC3	Outbreak NYC	56
MPX000047-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000048-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000048-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000049-NYC-VH00422-221014	APOBEC3	Outbreak NYC	57
MPX000049-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000050-NYC-VH00422-221014	APOBEC3	Outbreak NYC	56
MPX000050-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000051-NYC-VH00422-221014	APOBEC3	Outbreak NYC	56
MPX000051-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000052-NYC-VH00422-221014	APOBEC3	Outbreak NYC	56
MPX000052-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000053-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000053-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000054-NYC-VH00422-221014	APOBEC3	Outbreak NYC	58
MPX000054-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000055-NYC-VH00422-221014	APOBEC3	Outbreak NYC	56
MPX000055-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000056-NYC-VH00422-221014	APOBEC3	Outbreak NYC	59
MPX000056-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000057-NYC-VH00422-221014	APOBEC3	Outbreak NYC	59
MPX000057-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000058-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000058-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000059-NYC-VH00422-221014	APOBEC3	Outbreak NYC	52
MPX000059-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000060-NYC-VH00422-221014	APOBEC3	Outbreak NYC	52
MPX000060-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000061-NYC-VH00422-221014	APOBEC3	Outbreak NYC	55
MPX000061-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000062-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000062-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000063-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000063-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000064-NYC-VH00422-221014	APOBEC3	Outbreak NYC	55
MPX000064-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000065-NYC-VH00422-221014	APOBEC3	Outbreak NYC	57
MPX000065-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000066-NYC-VH00422-221014	APOBEC3	Outbreak NYC	57
MPX000066-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000067-NYC-VH00422-221014	APOBEC3	Outbreak NYC	57
MPX000067-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000068-NYC-VH00422-221014	APOBEC3	Outbreak NYC	56
MPX000068-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000069-NYC-VH00422-221014	APOBEC3	Outbreak NYC	56
MPX000069-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000070-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000070-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000071-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000071-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000072-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000072-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000073-NYC-VH00422-221014	APOBEC3	Outbreak NYC	55
MPX000073-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000074-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000074-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000075-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000075-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000076-NYC-VH00422-221014	APOBEC3	Outbreak NYC	57
MPX000076-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000077-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000077-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000078-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000078-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000079-NYC-VH00422-221014	APOBEC3	Outbreak NYC	56
MPX000079-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000080-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000080-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000081-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000081-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000082-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000082-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000083-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000083-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000084-NYC-VH00422-221014	APOBEC3	Outbreak NYC	51
MPX000084-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000085-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000085-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000086-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000086-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000087-NYC-VH00422-221014	APOBEC3	Outbreak NYC	52
MPX000087-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000088-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000088-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000089-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000089-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000090-NYC-VH00422-221014	APOBEC3	Outbreak NYC	56
MPX000090-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000092-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000092-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000093-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000093-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000094-NYC-VH00422-221014	APOBEC3	Outbreak NYC	55
MPX000094-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	11
MPX000095-NYC-VH00422-221014	APOBEC3	Outbreak NYC	55
MPX000095-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	11
MPX000096-NYC-VH00422-221014	APOBEC3	Outbreak NYC	56
MPX000096-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	11
MPX000097-NYC-VH00422-230123	APOBEC3	Outbreak NYC	58
MPX000097-NYC-VH00422-230123	NON-APOBEC	Outbreak NYC	9
MPX000098-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000098-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000099-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000099-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000100-NYC-VH00422-221014	APOBEC3	Outbreak NYC	52
MPX000100-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000101-NYC-VH00422-221014	APOBEC3	Outbreak NYC	52
MPX000101-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000102-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000102-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000103-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000103-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000104-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000104-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000105-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000105-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000106-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000106-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000107-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000107-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000108-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000108-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000109-NYC-VH00422-221014	APOBEC3	Outbreak NYC	57
MPX000109-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000110-NYC-VH00422-221014	APOBEC3	Outbreak NYC	56
MPX000110-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	11
MPX000111-NYC-VH00422-221014	APOBEC3	Outbreak NYC	52
MPX000111-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000112-NYC-VH00422-221014	APOBEC3	Outbreak NYC	55
MPX000112-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000113-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000113-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000114-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000114-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000115-NYC-VH00422-221014	APOBEC3	Outbreak NYC	52
MPX000115-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000116-NYC-VH00422-221014	APOBEC3	Outbreak NYC	52
MPX000116-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000117-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000117-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000118-NYC-VH00422-221014	APOBEC3	Outbreak NYC	57
MPX000118-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000119-NYC-VH00422-221014	APOBEC3	Outbreak NYC	56
MPX000119-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000120-NYC-VH00422-221014	APOBEC3	Outbreak NYC	55
MPX000120-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000121-NYC-VH00422-221014	APOBEC3	Outbreak NYC	55
MPX000121-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000122-NYC-VH00422-221014	APOBEC3	Outbreak NYC	57
MPX000122-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	11
MPX000123-NYC-VH00422-221014	APOBEC3	Outbreak NYC	55
MPX000123-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000124-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000124-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000125-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000125-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000126-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000126-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000127-NYC-VH00422-221014	APOBEC3	Outbreak NYC	56
MPX000127-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000128-NYC-VH00422-221014	APOBEC3	Outbreak NYC	56
MPX000128-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000129-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000129-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000130-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000130-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000131-NYC-VH00422-221014	APOBEC3	Outbreak NYC	52
MPX000131-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000132-NYC-VH00422-221014	APOBEC3	Outbreak NYC	57
MPX000132-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000133-NYC-VH00422-221014	APOBEC3	Outbreak NYC	56
MPX000133-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000134-NYC-VH00422-221014	APOBEC3	Outbreak NYC	57
MPX000134-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	11
MPX000135-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000135-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000136-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000136-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000137-NYC-VH00422-221014	APOBEC3	Outbreak NYC	55
MPX000137-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000138-NYC-VH00422-221014	APOBEC3	Outbreak NYC	55
MPX000138-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000139-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000139-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000140-NYC-VH00422-221014	APOBEC3	Outbreak NYC	55
MPX000140-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000141-NYC-VH00422-221014	APOBEC3	Outbreak NYC	56
MPX000141-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000142-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000142-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000143-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000143-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000144-NYC-VH00422-221014	APOBEC3	Outbreak NYC	57
MPX000144-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	11
MPX000145-NYC-VH00422-221014	APOBEC3	Outbreak NYC	56
MPX000145-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000146-NYC-VH00422-221014	APOBEC3	Outbreak NYC	56
MPX000146-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000147-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000147-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000148-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000148-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000149-NYC-VH00422-221014	APOBEC3	Outbreak NYC	55
MPX000149-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000150-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000150-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000151-NYC-VH00422-221014	APOBEC3	Outbreak NYC	56
MPX000151-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	12
MPX000152-NYC-VH00422-221014	APOBEC3	Outbreak NYC	56
MPX000152-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	12
MPX000153-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000153-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000154-NYC-VH00422-221014	APOBEC3	Outbreak NYC	56
MPX000154-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000155-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000155-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000156-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000156-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000157-NYC-VH00422-230123	APOBEC3	Outbreak NYC	54
MPX000157-NYC-VH00422-230123	NON-APOBEC	Outbreak NYC	9
MPX000158-NYC-VH00422-230123	APOBEC3	Outbreak NYC	59
MPX000158-NYC-VH00422-230123	NON-APOBEC	Outbreak NYC	10
MPX000159-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000159-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000160-NYC-VH00422-221014	APOBEC3	Outbreak NYC	56
MPX000160-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000161-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000161-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000162-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000162-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000163-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000163-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000164-NYC-VH00422-221014	APOBEC3	Outbreak NYC	57
MPX000164-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000165-NYC-VH00422-221014	APOBEC3	Outbreak NYC	58
MPX000165-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000166-NYC-VH00422-221014	APOBEC3	Outbreak NYC	59
MPX000166-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000167-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000167-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000168-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000168-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000169-NYC-VH00422-221014	APOBEC3	Outbreak NYC	55
MPX000169-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000170-NYC-VH00422-221014	APOBEC3	Outbreak NYC	57
MPX000170-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000171-NYC-VH00422-221014	APOBEC3	Outbreak NYC	57
MPX000171-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000172-NYC-VH00422-221014	APOBEC3	Outbreak NYC	58
MPX000172-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000173-NYC-VH00422-221014	APOBEC3	Outbreak NYC	55
MPX000173-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000174-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000174-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000175-NYC-VH00422-221014	APOBEC3	Outbreak NYC	55
MPX000175-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000176-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000176-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000177-NYC-VH00422-221014	APOBEC3	Outbreak NYC	55
MPX000177-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000178-NYC-VH00422-221014	APOBEC3	Outbreak NYC	56
MPX000178-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000179-NYC-VH00422-230123	APOBEC3	Outbreak NYC	55
MPX000179-NYC-VH00422-230123	NON-APOBEC	Outbreak NYC	9
MPX000180-NYC-VH00422-221014	APOBEC3	Outbreak NYC	56
MPX000180-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000181-NYC-VH00422-221014	APOBEC3	Outbreak NYC	57
MPX000181-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000182-NYC-VH00422-221014	APOBEC3	Outbreak NYC	56
MPX000182-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	11
MPX000183-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000183-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000184-NYC-VH00422-221014	APOBEC3	Outbreak NYC	55
MPX000184-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000185-NYC-VH00422-221014	APOBEC3	Outbreak NYC	54
MPX000185-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000186-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000186-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000187-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000187-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000188-NYC-VH00422-221014	APOBEC3	Outbreak NYC	56
MPX000188-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000189-NYC-VH00422-221014	APOBEC3	Outbreak NYC	55
MPX000189-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000190-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000190-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000191-NYC-VH00422-221014	APOBEC3	Outbreak NYC	58
MPX000191-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000192-NYC-VH00422-221014	APOBEC3	Outbreak NYC	57
MPX000192-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000193-NYC-VH00422-221014	APOBEC3	Outbreak NYC	57
MPX000193-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000194-NYC-VH00422-221014	APOBEC3	Outbreak NYC	57
MPX000194-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000195-NYC-VH00422-221014	APOBEC3	Outbreak NYC	57
MPX000195-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	10
MPX000196-NYC-VH00422-221014	APOBEC3	Outbreak NYC	53
MPX000196-NYC-VH00422-221014	NON-APOBEC	Outbreak NYC	9
MPX000197-NYC-VH00422-221014	APOBEC3	Outbreak NYC	60
